m1,sigma1,m2,sigma2,m3,sigma3,prie_slope,price_momentum,last_candle_closing_price
0.37571428572049453,40.64446031744799,-0.29860139860053025,36.77990724552602,-0.3923684210526316,33.08513223683962,0.914256140247744,-1.0537922042433516,25053.2,0
0.7257142857160597,48.308904761894844,0.07080419580419581,43.83128326534697,-0.1436842105251954,36.72529868420438,2.2037554178677965,0.8519729777264233,25054.35,0
-1.4814285714267974,33.17184126983732,0.41381118880988627,33.11458454738679,0.024285714285714285,35.77953928569883,0.929784192234365,1.336239863581821,25050.55,0
-1.5242857142839403,14.523904761902735,0.2202797202797203,32.65461295647917,-0.020263157893616456,34.07831644735831,-1.742102183321549,0.3688258001389554,25046.75,0
-1.9542857142830534,10.585571428569834,-0.414685314686183,34.838263403260875,-0.12184210526315789,33.42925592105057,-3.250384279399441,-1.185726080959192,25049,0
-1.659999999998226,7.607555555551115,-1.0861888111879427,21.319584547397323,-0.21868421052743617,33.647511184212604,-3.3937214229954407,-2.1492774158474677,25052.95,0
0.14428571428926218,18.484071428573753,-0.8234265734265734,18.602835081583937,-0.11330827067893251,29.512711090219334,-1.2665189026447479,-1.628795172781528,25055.75,0
0.8014285714321193,20.124507936498198,-0.17360139860053023,21.518969745533152,-0.08650375939961663,30.25156231202202,0.1398362623731373,-0.408044993610547,25051.75,0
-1.1285714285714286,28.7398412698257,-0.03496503496503497,25.5154312354228,-0.19368421052855656,32.86417368420449,-0.2920562390863779,0.5120536917483876,25048.25,0
-2.0228571428651256,18.499031746032802,0.04178321678495352,25.633136412197572,-0.37533834586354126,28.592877443607943,-2.3900496227215626,0.1125355514095494,25045.55,0
-1.5885714285696546,16.826841269840592,-0.4120629370616345,22.642068036125963,-0.3904511278184285,22.656243233078836,-3.976514372985548,-1.0305665403081918,25046.6,0
-1.1928571428571428,4.476309523808481,-0.9061188811180128,16.861411470471275,-0.35537593984962407,19.94085780074594,-4.611630329101899,-2.0212564666200263,25045.85,0
-0.6328571428589168,5.141642857140483,-0.9931818181800814,13.66172032827825,-0.353609022556391,19.15909191729381,-4.855850290383387,-2.326246382051428,25044.6,0
-0.8814285714267975,5.331285714287332,-0.7753496503474794,12.259616598679136,-0.3793984962417219,19.010487969921492,-4.394867903280101,-2.0173889117587738,25049.2,0
-1.0671428571366484,11.578865079365974,-0.6311188811188811,9.00026563714002,-0.5169172932330827,17.629234022554087,-3.1278246205401956,-1.2459166436494415,25044.35,0
0.790000000001774,38.7550555555594,0.02762237762368017,23.434588189589476,-0.43958646616429314,26.167463063908734,-3.366462900477927,-0.6131897839207814,25041.95,0
-1.5257142857160597,44.27057142856842,-0.25996503496590334,28.54220206876037,-0.5156015037593985,25.900475469922345,-4.2130555004150665,-0.4521155315174483,25040.95,0
-3.0814285714267973,21.571285714285338,-0.49930069930113347,29.113258061376666,-0.4407518797003685,24.162931203002532,-6.033578382721316,-1.162391006381854,25039.7,0
-0.6142857142857143,11.040793650793466,-0.5963286713269346,28.143641462701623,-0.4066541353361051,20.294896522556265,-6.051686808285012,-1.6833809800779953,25038.7,0
-0.7528571428553689,6.350531746027991,-0.8589160839173865,26.04966030496459,-0.40255639097520285,19.80515770676459,-7.328694242602069,-2.227031367932997,25033.7,1
-2.6657142857178338,15.249904761901952,-1.5246503496529547,25.56364437645325,-0.6253383458646616,26.810277443606218,-8.808406684645888,-2.5788879288336988,25034.6,1
-2.7357142857142858,15.309404761902634,-1.2417832167823484,17.181469745527867,-0.8329699248109097,27.436225469920696,-8.908152957043058,-2.8890354368888573,25037.4,0
0.01571428571783361,27.88546031745831,-1.0153846153880888,19.164401709398984,-0.8166165413533835,27.674669360900282,-5.176311432682269,-1.7767427729309384,25050.4,0
2.0614285714303455,37.7046190476195,-0.19038461538635212,42.819366987167975,-0.6142105263157894,41.79443552631008,0.06501932410537847,0.9663266427159414,25046.35,0
2.005714285710738,37.66990476190804,0.9333916083933451,49.392598339152705,-0.2729323308270677,55.73826409774243,4.005899403615331,4.312645169674421,25053.55,0
0.3685714285687676,32.75184126984012,1.762062937062503,39.92762359168338,0.29612781954999257,47.97357020676277,6.2588818267213355,6.647216936843691,25051.35,0
0.5642857142857143,16.874960317459266,1.9912587412609122,30.701520007775162,0.6804135338345865,49.336063063901406,6.213719258867059,7.11555020326166,25050.65,0
-0.11857142857320252,13.663785714278907,1.2788461538461537,29.391386217951318,0.9075939849624061,44.35355751879281,4.942252287237352,6.0771827709291815,25045.05,0
